model,condition,pipeline,accuracy,macro_f1
rf,baseline,preprocessed,0.9886039886039886,0.9880261776236396
rf,baseline,raw,0.8632478632478633,0.8220826752515729
rf,clean,preprocessed,0.9886039886039886,0.9880261776236396
rf,clean,raw,0.9943019943019943,0.9942957081551099
rf,combined,preprocessed,0.9757834757834758,0.9734270990558793
rf,combined,raw,0.6481481481481481,0.6041869395154347
rf,noise,preprocessed,0.9857549857549858,0.9848710099335882
rf,noise,raw,0.9928774928774928,0.9931193742740999
rf,scaled,preprocessed,0.9871794871794872,0.9865199803325586
rf,scaled,raw,0.9871794871794872,0.9864716889954654
rf,shifted,preprocessed,0.98005698005698,0.9789052881142078
rf,shifted,raw,0.9886039886039886,0.9884314813846797
svm,baseline,preprocessed,0.9729344729344729,0.9682021914801473
svm,baseline,raw,0.8176638176638177,0.8154412604276198
svm,clean,preprocessed,0.9729344729344729,0.9682021914801473
svm,clean,raw,0.9245014245014245,0.9315276504980451
svm,combined,preprocessed,0.9572649572649573,0.9508288700165666
svm,combined,raw,0.4928774928774929,0.5115936118236735
svm,noise,preprocessed,0.9729344729344729,0.9682021914801473
svm,noise,raw,0.9230769230769231,0.9301668483409841
svm,scaled,preprocessed,0.9729344729344729,0.9682021914801473
svm,scaled,raw,0.9216524216524217,0.9283173087008176
svm,shifted,preprocessed,0.9729344729344729,0.9682021914801473
svm,shifted,raw,0.9230769230769231,0.9300256278114294
